City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
3,Bredasdorp,67,ZA,1580089914,76,-34.53,20.04,55.4,1.12
5,Cape Town,40,ZA,1580089795,87,-33.93,18.42,61.0,5.82
6,Bengkulu,99,ID,1580089581,62,-3.8,102.27,85.35,2.86
9,Constitucion,11,CL,1580089775,71,-35.33,-72.42,62.73,7.27
12,Atuona,67,PF,1580089769,70,-9.8,-139.03,81.25,8.68
14,Yulara,0,AU,1580090103,12,-25.24,130.99,95.0,16.11
15,Carnarvon,0,AU,1580090012,83,-24.87,113.63,80.6,13.87
17,Saldanha,12,ZA,1580090046,82,-33.01,17.94,55.4,5.82
19,Beloha,2,MG,1580090051,67,-25.17,45.05,73.08,7.81
20,Hithadhoo,100,MV,1580089996,82,-0.6,73.08,81.75,13.02
21,Rikitea,14,PF,1580090000,79,-23.12,-134.97,79.34,11.39
23,Port Lincoln,12,AU,1580090108,56,-34.73,135.87,70.61,11.86
27,New Norfolk,75,AU,1580090246,42,-42.78,147.06,66.99,12.75
33,Mount Gambier,100,AU,1580089833,46,-37.83,140.77,69.8,11.41
36,Pandamatenga,34,BW,1580090345,78,-18.53,25.63,67.89,2.86
38,Mareeba,75,AU,1580090346,74,-17.0,145.43,90.0,8.05
42,Faanui,45,PF,1580090346,71,-16.48,-151.75,83.64,10.02
45,Departamento de Maldonado,33,UY,1580090347,94,-34.67,-54.92,69.8,5.82
46,Vaini,40,TO,1580090000,79,-21.2,-175.2,84.2,6.93
50,Port Elizabeth,17,ZA,1580090193,75,-33.92,25.57,60.94,8.68
53,Ushuaia,40,AR,1580090164,70,-54.8,-68.3,48.2,5.82
56,Boyolangu,0,ID,1580090348,65,-8.12,111.89,86.34,2.42
60,Somerset East,33,ZA,1580090348,72,-32.72,25.59,45.07,3.47
63,Busselton,0,AU,1580090009,17,-33.65,115.33,93.99,5.37
66,Calama,40,CL,1580090349,51,-22.47,-68.93,62.6,19.46
69,Avarua,100,CK,1580089781,94,-21.21,-159.78,77.0,8.05
71,Mahebourg,40,MU,1580090006,78,-20.41,57.7,77.0,8.05
72,Puerto Ayora,100,EC,1580090241,39,-0.74,-90.35,75.99,1.99
75,Mar del Plata,0,AR,1580090315,51,-38.0,-57.56,63.0,23.04
77,Salinopolis,100,BR,1580090351,80,-0.61,-47.36,81.95,18.21
78,Hermanus,77,ZA,1580089767,60,-34.42,19.23,63.5,7.16
79,Hobart,75,AU,1580089695,45,-42.88,147.33,66.99,12.75
82,Byron Bay,87,AU,1580090131,62,-28.65,153.62,87.01,10.29
85,Valparaiso,0,CL,1580089726,93,-33.04,-71.63,62.6,3.36
86,Kavieng,7,PG,1580090001,72,-2.57,150.8,85.12,10.85
88,Chui,39,UY,1580090048,92,-33.7,-53.46,71.33,8.14
96,Punta Arenas,90,CL,1580090162,66,-53.15,-70.92,51.8,13.87
100,Sao Miguel do Araguaia,100,BR,1580090353,98,-13.28,-50.16,73.51,4.47
101,Lebu,3,CL,1580090294,60,-37.62,-73.65,57.61,7.78
102,Samarai,78,PG,1580090353,55,-10.62,150.67,90.27,4.72
105,Pontianak,40,ID,1580090255,88,-0.03,109.33,78.8,4.7
109,East London,11,ZA,1580089990,69,-33.02,27.91,64.13,20.07
112,Airai,50,TL,1580089761,60,-8.93,125.41,82.74,5.68
117,Pitimbu,91,BR,1580090355,88,-7.47,-34.81,80.6,6.93
119,Coquimbo,20,CL,1580090050,88,-29.95,-71.34,75.99,6.93
122,Souillac,40,MU,1580090356,78,-20.52,57.52,77.0,8.05
124,Orizona,100,BR,1580090356,93,-17.03,-48.3,67.64,3.98
128,Saint-Philippe,90,RE,1580090140,73,-21.36,55.77,75.2,9.17
133,Amahai,72,ID,1580090357,73,-3.33,128.92,83.53,5.99
137,Pilar,40,BR,1580090358,88,-9.6,-35.96,78.8,1.12
139,Henties Bay,47,,1580090045,90,-22.12,14.28,61.0,3.91
142,Lorengau,97,PG,1580089898,71,-2.02,147.27,85.3,8.72
143,Grand Gaube,40,MU,1580089996,78,-20.01,57.66,77.0,8.05
144,Castro,0,BR,1580089901,94,-24.79,-50.01,63.45,3.09
145,Geraldton,0,AU,1580089776,48,-28.77,114.6,86.0,8.05
146,Flinders,75,AU,1580090359,65,-34.58,150.86,88.0,5.82
147,Mataura,76,NZ,1580089785,71,-46.19,168.86,64.99,11.01
149,Salta,40,AR,1580090122,88,-24.79,-65.41,78.8,14.99
150,Esperance,0,AU,1580090210,51,-33.87,121.9,80.6,8.05
152,Huarmey,100,PE,1580090359,77,-10.07,-78.15,71.55,2.51
156,Arraial do Cabo,1,BR,1580090235,79,-22.97,-42.03,75.49,11.5
157,Bluff,49,NZ,1580090360,71,-46.6,168.33,64.0,11.01
159,Tuatapere,91,NZ,1580090360,71,-46.13,167.68,64.0,11.01
162,Pontes e Lacerda,99,BR,1580090360,81,-15.23,-59.34,75.16,2.64
163,Mackay,75,AU,1580089851,78,-21.15,149.2,82.99,13.87
164,Ballarat,100,AU,1580090360,55,-37.57,143.85,73.0,4.0
167,Touros,40,BR,1580090095,88,-5.2,-35.46,80.6,3.36
176,Kismayo,100,SO,1580090362,90,-0.36,42.55,80.08,8.21
185,Nangomba,100,TZ,1580090363,93,-10.9,38.5,72.27,3.6
186,Port Alfred,18,ZA,1580089813,78,-33.59,26.89,62.01,3.0
187,Bendigo,100,AU,1580090363,49,-36.77,144.28,91.99,1.99
197,Rocha,6,UY,1580090365,97,-34.48,-54.33,64.92,2.19
202,Nacala,93,MZ,1580090365,96,-14.54,40.67,72.9,3.94
203,Ancud,75,CL,1580090182,82,-41.87,-73.82,55.4,4.7
207,Alta Floresta,100,BR,1580090366,95,-9.88,-56.09,73.53,2.24
212,Ribeirao,40,BR,1580090366,74,-8.51,-35.38,84.2,4.7
220,Kaitangata,81,NZ,1580089902,66,-46.28,169.85,68.0,7.23
227,Manzini,100,SZ,1580090368,93,-26.25,31.5,69.8,13.87
228,Paramirim,100,BR,1580090368,87,-13.44,-42.24,65.84,1.79
229,Coyhaique,100,CL,1580090369,44,-45.58,-72.07,60.8,11.41
230,Bambous Virieux,40,MU,1580090287,78,-20.34,57.76,77.0,8.05
233,Ahipara,10,NZ,1580089800,82,-35.17,173.17,69.78,9.15
240,Outjo,0,,1580090370,55,-20.12,16.15,69.8,3.36
242,Port Shepstone,82,ZA,1580090370,51,-30.74,30.45,62.94,13.73
246,Lima,40,PE,1580090111,83,-12.04,-77.03,75.2,21.92
247,Luderitz,0,,1580090000,59,-26.65,15.16,64.4,17.22
251,Arawa,94,PG,1580090371,70,-6.21,155.54,84.24,3.89
252,Warrnambool,100,AU,1580090335,75,-38.38,142.48,60.35,10.51
253,Namatanai,26,PG,1580090018,72,-3.67,152.43,85.82,12.37
258,Antofagasta,75,CL,1580089775,83,-23.65,-70.4,72.0,9.17
260,Cap Malheureux,40,MU,1580090372,78,-19.98,57.61,77.0,8.05
265,Oruro,68,BO,1580090373,59,-17.98,-67.15,51.58,7.99
268,Moree,75,AU,1580090373,45,-29.47,149.85,87.8,11.41
269,Tacuarembo,99,UY,1580090374,39,-31.73,-55.98,74.1,6.73
271,Vao,100,NC,1580090374,81,-22.67,167.48,78.66,14.76
273,Feijo,83,BR,1580090374,87,-8.16,-70.35,75.76,2.15
278,Necochea,0,AR,1580090375,59,-38.55,-58.74,60.01,10.0
280,Iquitos,96,PE,1580090100,94,-3.75,-73.25,78.8,1.07
286,Saquena,100,PE,1580090376,95,-4.67,-73.52,75.34,2.1
289,Manta,75,EC,1580090376,78,-0.95,-80.73,80.6,4.7
291,Bhisho,26,ZA,1580090376,75,-32.85,27.44,55.33,13.67
292,Pangani,79,TZ,1580090376,87,-5.43,38.97,78.06,5.68
300,Takapau,0,NZ,1580090378,52,-40.03,176.35,82.99,4.0
302,Labuhan,46,ID,1580090291,67,-6.88,112.21,87.12,2.26
304,San Miguel de Tucuman,90,AR,1580090174,94,-26.82,-65.22,71.6,4.7
305,Njombe,100,TZ,1580090378,97,-9.33,34.77,59.32,4.59
306,Tshela,100,CD,1580090378,96,-4.98,12.93,73.45,1.72
317,Lakes Entrance,100,AU,1580090380,67,-37.88,147.98,80.01,5.99
321,Jacareacanga,88,BR,1580090380,93,-6.22,-57.75,75.02,0.98
324,Norsup,75,VU,1580090381,70,-16.07,167.38,86.0,6.93
326,Padang,84,ID,1580089989,81,-0.95,100.35,78.48,2.01
328,Guaxupe,9,BR,1580090180,70,-21.31,-46.71,59.29,1.95
338,Bulawayo,0,ZW,1580090382,63,-20.15,28.58,64.47,3.09
345,Hwange,2,ZW,1580090383,85,-18.37,26.5,67.55,2.26
347,Olinda,40,BR,1580090383,74,-8.01,-34.86,84.2,4.7
352,Codrington,89,AU,1580090094,74,-38.27,141.97,60.98,12.66
354,Quatre Cocos,40,MU,1580090384,78,-20.21,57.76,77.0,8.05
358,Cairns,75,AU,1580090384,74,-16.92,145.77,90.0,8.05
360,Howard Springs,40,AU,1580090385,70,-12.5,131.05,96.01,13.87
366,Karratha,0,AU,1580090317,57,-20.74,116.85,91.0,8.46
371,Itaituba,98,BR,1580090386,84,-4.28,-55.98,76.3,2.04
372,Betioky,39,MG,1580090386,70,-23.72,44.38,76.03,4.12
381,Taltal,7,CL,1580089877,81,-25.4,-70.48,67.32,1.32
383,Omboue,83,GA,1580090043,94,-1.57,9.26,76.77,0.56
384,Talara,87,PE,1580090317,92,-4.58,-81.27,74.39,10.11
385,Carutapera,100,BR,1580090387,80,-1.2,-46.02,81.99,13.2
387,Rawson,0,AR,1580090084,57,-43.3,-65.1,59.9,10.09
389,Dunedin,6,NZ,1580089788,66,-45.87,170.5,68.0,11.3
390,Maningrida,100,AU,1580090388,81,-12.07,134.27,85.32,20.2
396,Tiarei,20,PF,1580090378,66,-17.53,-149.33,87.8,10.29
399,Hualmay,100,PE,1580090389,82,-11.1,-77.61,71.08,4.88
400,Tutoia,100,BR,1580090389,95,-2.76,-42.27,76.46,4.32
401,Wundanyi,94,KE,1580090389,95,-3.4,38.36,68.59,1.21
402,Waingapu,100,ID,1580090390,73,-9.66,120.26,83.91,1.9
406,Luau,100,AO,1580090390,98,-10.71,22.22,65.28,2.77
407,Alyangula,100,AU,1580090051,70,-13.85,136.42,89.6,13.87
413,Tsabong,0,BW,1580090391,31,-26.02,22.4,64.49,9.04
419,Pisco,56,PE,1580089842,88,-13.7,-76.22,71.6,21.92
420,Mikumi,100,TZ,1580090392,96,-7.4,36.98,69.08,3.56
426,Saint-Pierre,90,RE,1580090347,73,-21.34,55.48,75.2,9.17
431,Gamba,93,GA,1580090093,84,-2.65,10.0,78.87,0.98
433,Finschhafen,63,PG,1580090134,69,-6.6,147.87,85.75,8.55
436,Mwense,100,ZM,1580090394,99,-10.38,28.7,65.82,0.51
439,Roebourne,0,AU,1580090394,9,-20.78,117.13,108.25,12.93
441,Rio Gallegos,40,AR,1580089910,43,-51.62,-69.22,55.4,11.41
443,Mount Isa,90,AU,1580089903,78,-20.73,139.5,82.4,9.17
444,Port Hedland,0,AU,1580089904,56,-20.32,118.57,95.0,5.82
445,Kasongo-Lunda,100,CD,1580090395,97,-6.47,16.82,68.11,0.6
456,Puerto Baquerizo Moreno,100,EC,1580090396,87,-0.9,-89.6,75.79,9.24
458,Tautira,20,PF,1580090098,66,-17.73,-149.15,87.8,10.29
473,Chissamba,100,AO,1580090398,97,-12.17,17.33,63.66,1.97
476,Mercedes,20,AR,1580090398,26,-34.65,-59.43,80.01,8.99
477,Rumphi,100,MW,1580090398,99,-11.02,33.86,61.88,0.72
480,Ambovombe,6,MG,1580090399,76,-25.17,46.08,66.79,6.2
481,Kruisfontein,32,ZA,1580090399,87,-34.0,24.73,54.01,9.1
484,Saint-Leu,90,RE,1580090399,73,-21.15,55.28,75.2,9.17
485,Cuenca,90,EC,1580090399,82,-2.88,-78.98,60.8,6.93
488,Nabire,62,ID,1580089852,55,-3.37,135.48,90.23,6.04
489,Mahajanga,20,MG,1580090400,94,-15.72,46.32,78.8,4.7
491,Diego de Almagro,0,CL,1580090400,74,-26.37,-70.05,63.82,0.92
493,Laranja da Terra,100,BR,1580090400,96,-19.9,-41.06,66.78,2.33
500,Pozo Colorado,0,PY,1580090401,36,-23.49,-58.8,79.25,2.64
502,San Juan,100,AR,1580090160,42,-31.54,-68.54,82.62,12.28
503,Charters Towers,100,AU,1580090402,83,-20.1,146.27,78.03,12.26
512,Alice Springs,3,AU,1580090274,11,-23.7,133.88,95.0,14.99
514,Maceio,40,BR,1580090162,88,-9.67,-35.74,78.8,1.12
515,Sungaipenuh,100,ID,1580090405,75,-2.08,101.38,75.43,0.85
518,Tocopilla,78,CL,1580089920,57,-22.09,-70.2,66.16,3.15
526,Plettenberg Bay,28,ZA,1580090406,79,-34.05,23.37,57.58,8.84
529,Walvis Bay,91,,1580090041,82,-22.96,14.51,61.0,3.36
532,Kandrian,99,PG,1580090407,78,-6.22,149.55,84.6,3.74
533,Mitsamiouli,99,KM,1580090407,74,-11.38,43.28,81.66,3.51
539,Springbok,0,ZA,1580090408,67,-29.66,17.89,48.94,11.43
541,Richards Bay,100,ZA,1580090067,75,-28.78,32.04,74.88,34.31
543,Comodoro Rivadavia,67,AR,1580090140,48,-45.87,-67.5,64.4,2.24
545,Victor Harbor,44,AU,1580090409,55,-35.57,138.62,79.0,8.01
548,Maxixe,0,MZ,1580090410,81,-23.86,35.35,77.4,9.98
550,Floresta,100,BR,1580090262,88,-8.6,-38.57,73.42,6.46
